"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M10","2023 October","2","Visit to friends/relatives","Thousand","181.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M10","2023 October","4","Other reason for journey","Thousand","36"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M10","2023 October","-","All reasons for journey","Thousand","577.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","3","Business","Thousand","84.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","1","Holiday/leisure/recreation","Thousand","177"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","2","Visit to friends/relatives","Thousand","163.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","4","Other reason for journey","Thousand","22.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M11","2023 November","-","All reasons for journey","Thousand","447.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","3","Business","Thousand","78.1"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","1","Holiday/leisure/recreation","Thousand","145.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","2","Visit to friends/relatives","Thousand","180.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","4","Other reason for journey","Thousand","41"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2023M12","2023 December","-","All reasons for journey","Thousand","445.2"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","3","Business","Thousand","58.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","1","Holiday/leisure/recreation","Thousand","159.5"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","2","Visit to friends/relatives","Thousand","211.7"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","4","Other reason for journey","Thousand","22"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M01","2024 January","-","All reasons for journey","Thousand","451.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M02","2024 February","3","Business","Thousand","88.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M02","2024 February","1","Holiday/leisure/recreation","Thousand","153.6"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M02","2024 February","2","Visit to friends/relatives","Thousand","158"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M02","2024 February","4","Other reason for journey","Thousand","32.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M02","2024 February","-","All reasons for journey","Thousand","433.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M03","2024 March","3","Business","Thousand","81.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M03","2024 March","1","Holiday/leisure/recreation","Thousand","243.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M03","2024 March","2","Visit to friends/relatives","Thousand","153.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M03","2024 March","4","Other reason for journey","Thousand","43.3"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M03","2024 March","-","All reasons for journey","Thousand","521.8"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M04","2024 April","3","Business","Thousand","86.6"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M04","2024 April","1","Holiday/leisure/recreation","Thousand","228.6"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M04","2024 April","2","Visit to friends/relatives","Thousand","196.9"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M04","2024 April","4","Other reason for journey","Thousand","37"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M04","2024 April","-","All reasons for journey","Thousand","549.1"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M05","2024 May","3","Business","Thousand","95.2"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M05","2024 May","1","Holiday/leisure/recreation","Thousand","280.4"
"ITM04C01","Number of Overnight Trips by Foreign Visitors","2024M05","2024 May","2","Visit to friends/relatives","Thousand","182"
